ID;Source;Change;Target
ID01;Ha'e ombojerékuri umi ao;PERSON:2_SI;Nde rembojere umi ao
ID02;Ha'e ombojerékuri umi ao;TYPE:NEG;Ha’e ndombojeréi umi ao
ID03;Ha'e ombojerékuri umi ao;ASPECT:IPFV;Ha’e ombojerehína umi ao
ID04;Umi chokokue ombotýkuri pende rape;TYPE:NEG;Umi chokokue nombotýikuri pende rape
ID05;Umi chokokue ombotýkuri pende rape;ASPECT:IPFV;Umi chokokue ombotyhína pende rape
ID06;Umi chokokue ombotýkuri pende rape;PERSON:3_SI;Ha’e ombotýkuri pende rape
ID07;Umi chokokue ombotýkuri pende rape;TENSE:FUT_SIM;Umi chokokue ombotýta pende rape
ID08;Umi chokokue ombotýkuri pende rape;TENSE:PAS_PLU;Umi chokokue ombotyva’ekue pende rape
ID09;Umi chokokue ombotýkuri pende rape;TENSE:PRE_SIM;Umi chokokue omboty pende rape
ID10;Peẽ ndapejapóimi óga yvate;PERSON:1_PL_INC;Ñande ndajajapói óga yvate
ID11;Peẽ ndapejapóimi óga yvate;PERSON:1_PL_EXC;Ore ndorojapói óga yvate
ID12;Peẽ ndapejapóimi óga yvate;TENSE:PAS_REC;Peẽ pejapókuri óga yvate
ID13;Peẽ ndapejapóimi óga yvate;TENSE:PRE_SIM;Peẽ pejapo óga yvate
ID14;Peẽ ndapejapóimi óga yvate;TYPE:AFF;Peẽ ndapejapóikuri óga yvate
ID15;Peẽ ndapejapóimi óga yvate;PERSON:3_PL;Ha’ekuéra ndojapóikuri óga yvate
ID16;Peẽ ndapejapóimi óga yvate;PERSON:2_SI;Nde nderejapóikuri óga yvate
ID17;Ku karai ijyvatéva;TENSE:FUT_SIM;Ku karai ijyvatétava
ID18;Ku karai ijyvatéva;TYPE:NEG;Ku karai ndaijyvatéiva
ID19;Ku karai ijyvatéva;ASPECT:IPFV;Ku karai ijyvatevahína
ID20;Umi mbói oñorãirõ;ASPECT:IPFV;Umi mbói oñorãirõhína
ID21;Umi mbói oñorãirõ;ASPECT:INM;Umi mbói oñorãirõhikóni
ID22;Umi mbói oñorãirõ;PERSON:3_PL;Ha'ekuéra oñorãirõ
ID23;Umi mbói oñorãirõ;TENSE:PAS_IMP;Umi mbói oñorãirõmi
ID24;Umi mbói oñorãirõ;TENSE:FUT_SIM;Umi mbói oñorãirõta
ID25;Umi mbói oñorãirõ;TYPE:NEG;Umi mbói noñorãirõmo'ãi
ID26;Temirendukuéra omongakuaa;PERSON:3_SI;Ha’e omongakuaa
ID27;Temirendukuéra omongakuaa;TENSE:FUT_SIM;Temirendukuéra omongakuaáta
ID28;Temirendukuéra omongakuaa;TYPE:NEG;Temirendukuéra nomongakuaái
ID29;Temirendukuéra omongakuaa;ASPECT:IPFV;Temirendukuéra omongakuaahína
ID30;Temirendukuéra omongakuaa;TENSE:PAS_IMP;Temirendukuéra omongakuaámi
ID31;Pohãnohára ikatupyry;TENSE:PRE_SIM;Pohãnohára ikatupyry
ID32;Pohãnohára ikatupyry;TYPE:AFF;Pohãnohára ikatupyry
ID33;Pohãnohára ikatupyry;TENSE:PAS_REC;Pohãnohára ikatupyrýkuri
ID34;Pohãnohára ikatupyry;PERSON:3_PL;Ha'ekuéra ikatupyry
ID35;Pohãnohára ikatupyry;TENSE:PAS_PLU;Pohãnohára ikatupyryva'ekue
ID36;Haa'e ojarákuri y;TYPE:NEG;Ha’e ndojaráikuri y
ID37;Haa'e ojarákuri y;PERSON:2_SI;Nde rejarákuri y
ID38;Haa'e ojarákuri y;PERSON:1_SI;Che ajarákuri y
ID39;Haa'e ojarákuri y;TENSE:FUT_SIM;Ha’e ojaráta y
ID40;Haa'e ojarákuri y;ASPECT:IPFV;Ha’e ojarahína y
ID41;Chéngo ndaikuaái upévape.;TYPE:AFF;Chéngo ndaikuaái upévape.
ID42;Chéngo ndaikuaái upévape.;TENSE:PAS_REC;Chéngo ndaikuaái upévape.
ID43;Chéngo ndaikuaái upévape.;PERSON:2_SI;Chéngo ndaikuaái upévape.
ID44;Ha'ekuéra naiñemoñaréikuri;TYPE:AFF;Ha’ekuéra iñemoñarékuri
ID45;Ha'ekuéra naiñemoñaréikuri;TENSE:FUT_SIM;Ha’ekuéra iñemoñaréta
ID46;Ha'ekuéra naiñemoñaréikuri;PERSON:1_PL_INC;Ñande ñaneñemoñarékuri
ID47;Ha'ekuéra naiñemoñaréikuri;PERSON:1_PL_EXC;Ore oreñemoñarékuri
ID48;Ha'ekuéra naiñemoñaréikuri;PERSON:2_PL;Peẽ peñemoñarékuri
ID49;Ha'ekuéra naiñemoñaréikuri;TENSE:PRE_SIM;Ha’ekuéra iñemoñare
ID50;Apurahéikuri;TYPE:NEG;Ndapurahéirikuri
ID51;Apurahéikuri;ASPECT:IPFV;Apuraheihína
ID52;Apurahéikuri;TENSE:PAS_PLU;Apuraheiva'ekue
ID53;Apurahéikuri;TENSE:FUT_SIM;Apurahéita
ID54;Apurahéikuri;PERSON:3_PL;Ha'ekuéra opurahéikuri
ID55;He'i ka'i ruvicha ta'yrakuérape;PERSON:1_SI;Ha’e  ta’yrakuérape
ID56;He'i ka'i ruvicha ta'yrakuérape;PERSON:2_SI;Nde ere ta’yrakuérape
ID57;He'i ka'i ruvicha ta'yrakuérape;TYPE:NEG;Nde'íri ka’i ruvicha ta’yrakuérape
ID58;Che namombe'úi;TENSE:PRE_SIM;Che namombe’úi
ID59;Che namombe'úi;TYPE:AFF;Che amombe’u
ID60;Che namombe'úi;TENSE:PAS_IMP;Che namombe’úimi
ID61;Che namombe'úi;PERSON:2_SI;Nde neremombe’úi
ID62;Che namombe'úi;PERSON:1_PL_EXC;Ñande nañamombe’úi
ID63;Ojura peteĩ vaka;TYPE:AFF;Ojura peteĩ vaka
ID64;Ojura peteĩ vaka;TENSE:PAS_REC;Ojurákuri peteĩ vaka
ID65;Ojura peteĩ vaka;TENSE:PAS_IMP;Ojurámi peteĩ vaka
ID66;Ojura peteĩ vaka;TENSE:PAS_PLU;Ojurava’ekue peteĩ vaka
